,time(s),temperature(C),ChargingVoltage(mV),DischargingVoltage(mV),pumpFlowRate(mL)
0,0,47,0.16871516551482593,1.9578968751381634,128
1,1,54,0.11566259144687432,0.6798204323295124,134
2,2,27,0.306581441872134,2.6735134152718216,82
3,3,50,0.8112062280023762,0.16185934926854023,131
4,4,31,0.050838448309663026,0.33959609276148617,99
5,5,32,1.6469521370656421,0.4972486676606417,130
6,6,51,0.07782754912896603,0.4787949297945289,146
7,7,54,0.18888399852277848,0.20320984288765154,75
8,8,59,4.108561881298738,0.3649644941514956,101
9,9,25,0.5646553205620531,0.6290151364352117,76
10,10,24,0.6590414493727228,0.0849910929860539,111
11,11,34,0.8979419670651121,0.37178528927569426,93
12,12,22,0.01911962218149931,0.9362951848041474,112
13,13,22,1.0267293312541177,0.04493238034534545,127
14,14,44,2.0785680086897993,0.9453535048987669,90
15,15,27,0.1141862095089608,1.234496310831861,79
16,16,55,0.3128982759461272,0.41988861693400314,100
17,17,27,0.6125749709099714,1.4050292417583548,78
18,18,44,0.7930755592687666,0.8689613741282047,147
19,19,58,0.009520900625434111,1.0659025978654653,98
20,20,30,1.4962679619576558,0.17643327880010987,87
21,21,63,0.15188806761555937,0.06833196479928981,97
22,22,29,0.5236322168680267,0.1345343605782458,95
23,23,48,0.1342643658515965,0.006401649755036539,149
24,24,23,0.675632129027716,0.11516090838561874,122
25,25,63,0.0219382213478759,1.3230708161471898,94
26,26,63,2.5461353451467397,0.43225119764946596,101
27,27,34,0.18524848991416798,0.40373234145808434,137
28,28,55,1.2542005518037618,0.9807733121953697,130
29,29,48,1.7061546837641708,0.576986748460942,147
30,30,43,0.0365175862860654,1.515675627856738,111
31,31,63,0.7036362480382546,0.08124917383504887,92
32,32,52,3.0144754637446964,1.1223310623685103,117
33,33,54,0.1360526371480769,0.023564663064947016,130
34,34,55,0.2476193698370375,0.3119987928193822,105
35,35,35,0.732472703842962,0.5949368154021201,92
36,36,40,0.04784980604193824,0.024284749855758667,101
37,37,53,0.7366419438100877,2.675697992379249,129
38,38,55,0.10432820822117343,0.28020481710582706,97
39,39,39,0.17369004258344897,0.5262581223238276,116
40,40,62,0.5353326423818435,0.049700950412087795,118
41,41,20,1.1351716362902033,0.16872262750418746,139
42,42,47,0.5329746841179016,1.1270484590745888,79
43,43,55,0.700416826706384,0.9424097776578785,75
44,44,35,0.42400079299926424,3.293038635004068,119
45,45,64,1.765003600951393,1.3743696952929227,100
46,46,48,0.314251488237025,2.943262562375932,118
47,47,52,0.5673555033888021,1.0342538853933938,148
48,48,41,0.37663372290617253,0.22797222951178722,114
49,49,55,1.7387559837610265,0.7829104575150966,144
50,50,25,0.8631509753898134,0.22312932205960775,142
51,51,62,0.21170529716945216,1.8798720676538068,108
52,52,58,0.30440218715819245,0.012969354913914289,107
53,53,53,3.5197818258419593,0.8355101907479136,92
54,54,58,0.955747512299246,0.7748482559339137,113
55,55,36,0.8372624824352776,2.389272116049654,136
56,56,24,2.6653784870202224,0.2386642137164408,80
57,57,58,0.7383537810900959,2.2830122923992593,129
58,58,51,0.5915384353342327,1.9493723980170223,76
59,59,44,0.3659553592408499,2.8435855094241553,86
60,60,39,0.47128328395982305,2.331582852163375,116
61,61,52,1.0283096060081627,0.217688175918745,92
62,62,33,1.6088815551207807,0.5895548906232434,83
63,63,30,0.44207067771644376,0.6959592009069969,109
64,64,31,0.4734885076712795,1.3062568802074381,137
65,65,46,0.1891500408435639,1.1727086746194726,131
66,66,40,0.14969186889328207,1.0433111781271698,96
67,67,38,0.06933918415099867,0.29536291547708016,136
68,68,35,0.39434327405189795,1.8084016893012682,109
69,69,38,1.2340717519654067,1.7307797524685555,91
70,70,47,1.7561777503845224,1.0606174586305095,133
71,71,61,0.3649020187602453,0.7095039045027228,82
72,72,63,0.19723355175418725,5.486264210837447,127
73,73,58,1.1499992544244158,0.00682823111922462,108
74,74,61,0.5588494872937178,0.03341667023391065,76
75,75,30,5.0880125761134165,0.8317075574975616,139
76,76,57,0.8483402621966983,1.4961532536453253,107
77,77,51,0.0588446109353377,0.5069476925995777,91
78,78,25,0.6876468469883109,0.983213864185735,137
79,79,54,0.5238515428226292,1.1779132690828815,118
80,80,46,0.9810855046337146,0.13957874429652242,143
81,81,52,0.4812625645956429,0.032453750931153436,78
82,82,36,1.5519821690415354,1.3338743067606107,149
83,83,53,0.10051373692641644,0.7024082033963864,118
84,84,21,1.8800906371340236,0.4904752013408205,101
85,85,32,0.07870704911197107,0.8415371884662041,106
86,86,51,0.36636611958162213,0.4601125787112222,124
87,87,41,0.13066815053746947,0.0332621886234058,96
88,88,28,1.7908439528064017,0.812968439737267,149
89,89,49,0.107236176197647,0.8951509861015239,126
90,90,21,1.3774760495068836,0.4117908254880483,116
91,91,35,0.09262743510115826,1.0319540564601644,87
92,92,22,0.2435428358826719,1.7996347485052269,113
93,93,37,0.10014462699844866,0.7229723583783828,128
94,94,63,0.14183015087127696,0.8424699434459868,114
95,95,38,0.28048940484467516,3.1581751736520123,98
96,96,51,0.4981175362184183,0.43968893064385,115
97,97,51,1.642222010850133,1.5210098882947476,126
98,98,29,0.5098048323086017,3.7642874837517653,130
99,99,34,0.4469600422021814,3.770978759310046,115
100,100,58,0.2198267708361169,1.3830752657451617,138
101,101,21,2.1040646753266463,0.13251393155569813,121
102,102,35,0.24166900466970895,1.6626578446865148,140
103,103,39,0.17567869633395586,0.63783619490799,132
104,104,35,1.5778475128525975,0.5119792010648085,120
105,105,63,0.5749559442787749,0.6765782751414552,125
106,106,40,4.328192528619601,2.5029552892299174,128
107,107,34,2.5593407855139882,1.1730073079340058,95
108,108,28,0.28219071695942827,0.46149887028561054,85
109,109,36,0.12308246462582524,0.403445783483993,142
110,110,64,1.9296270077571682,0.5826074028553627,78
111,111,57,0.2602393111209568,0.20580723597903644,85
112,112,38,0.39814586603565577,0.29515487377558586,134
113,113,35,0.06852818394701297,0.9765447340134427,77
114,114,62,1.4481241947571808,0.7516556657038588,137
115,115,43,1.0756930950970112,0.1443692814529523,111
116,116,45,1.947039665273289,0.06745068591370491,134
117,117,58,0.7853246237965651,0.1925513577703974,110
118,118,22,2.147778950466776,0.8497244597913143,117
119,119,62,0.6722229938354681,0.6632773989608486,90
120,120,32,1.4985636364744244,1.4090716338787463,117
121,121,20,2.064182122328857,0.7628012635363364,76
122,122,53,0.44374540430111586,0.5423023691476189,87
123,123,43,3.1461469464406324,1.353125056175641,138
124,124,62,2.3576197397293632,0.3979105004043644,77
125,125,54,2.2014015246890635,4.197271723049759,77
126,126,36,0.475951479898845,0.5889158112771137,132
127,127,33,0.5093326410564568,0.08231513465475486,149
128,128,23,0.46111393212036866,1.5826834625942825,100
129,129,54,0.20898039951486824,2.5861700123548568,149
130,130,50,0.13451117556792272,2.0644619709266405,79
131,131,44,0.05046654343104059,0.9912607999848122,95
132,132,33,0.405905047177325,0.6359466382979294,105
133,133,41,0.5075815788801816,0.07072115494393832,82
134,134,52,0.007927475203387695,0.47975740313450876,87
135,135,29,0.6317639351080578,0.4623972723537682,109
136,136,32,3.237735993401385,0.5997689560255797,77
137,137,43,2.872913654150893,1.8586683210524622,93
138,138,23,1.2031910778444275,0.029998390293777495,101
139,139,58,1.7012650656978452,0.012541905749750061,104
140,140,31,0.18930394059703523,0.036186112534244246,94
141,141,51,0.6256198853973675,0.9551749919252992,75
142,142,62,0.010549742413475442,0.5810432315024474,137
143,143,25,2.003946695608052,0.26951624921334993,117
144,144,61,0.9794387032532509,0.2374493444725312,114
145,145,45,0.7094324977463806,0.18518757131637006,148
146,146,60,1.1977266233471984,3.2156955902059483,115
147,147,35,0.33711766872875615,0.013184773593527816,135
148,148,58,0.11256294083582047,0.017422266508891705,142
149,149,25,0.028246511362756896,1.7828061428970987,85
150,150,55,0.30857017850970997,1.3233329414664676,101
151,151,41,1.373962702612211,1.0314348429119047,95
152,152,39,1.1299914551349888,1.0155070864384905,104
153,153,58,0.143643570911959,0.3574935689731811,100
154,154,42,1.96466106627991,1.162427891250069,81
155,155,38,0.5432170602607641,1.9043713666021103,108
156,156,20,1.8123516088041227,0.02888708155382362,91
157,157,57,0.22047750111152978,0.5915293801208847,93
158,158,23,0.7544723236361134,0.13148471527440014,121
159,159,35,1.0434379835813639,2.5829068328151212,88
160,160,31,1.2378989094965835,0.24351061521941358,115
161,161,46,0.34841895858570626,0.42716373831178944,95
